Scanning dir NodeGoat/
Scanning /home/caffeine/Documents/Code/vulnerable-app/NodeGoat/ at commit b2aed3819e59a27f9ce5fa3cdefd07f93512e7c8
Scanned /home/caffeine/Documents/Code/vulnerable-app/NodeGoat/package-lock.json file and found 1091 packages
+-------------------------------------+-----------+----------------------+---------+----------------------------+
| OSV URL (ID IN BOLD)                | ECOSYSTEM | PACKAGE              | VERSION | SOURCE                     |
| https://osv.dev/GHSA-fhjf-83wg-r2j9 | npm       | mixin-deep           | 1.3.1   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-8hfj-j24r-96c4 | npm       | moment               | 2.24.0  | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-wc69-rhjr-hc9g | npm       | moment               | 2.24.0  | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-mh5c-679w-hh4r | npm       | mongodb              | 2.2.36  | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-w9mr-4mfr-499f | npm       | ms                   | 0.7.1   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-6xwr-q98w-rvg7 | npm       | nconf                | 0.10.0  | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-6xwr-q98w-rvg7 | npm       | nconf                | 0.6.9   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-ph34-pc88-72gc | npm       | npm                  | 3.10.10 | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-m6cx-g6qm-p2cx | npm       | npm                  | 3.10.10 | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-x8qc-rrcw-4r46 | npm       | npm                  | 3.10.10 | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-4328-8hgf-7wjr | npm       | npm                  | 3.10.10 | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-93f3-23rq-pjfp | npm       | npm                  | 3.10.10 | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-pw54-mh39-w3hc | npm       | npm-user-validate    | 0.1.5   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-xgh6-85xh-479p | npm       | npm-user-validate    | 0.1.5   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-hj48-42vr-x3v9 | npm       | path-parse           | 1.0.5   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-f9cm-p3w6-xvr3 | npm       | qs                   | 0.6.6   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-jjv7-qpx3-h62q | npm       | qs                   | 0.6.6   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-gqgv-6jq5-jjj9 | npm       | qs                   | 0.6.6   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-hrpp-h998-j3pp | npm       | qs                   | 0.6.6   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-gqgv-6jq5-jjj9 | npm       | qs                   | 5.2.1   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-hrpp-h998-j3pp | npm       | qs                   | 5.2.1   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-gqgv-6jq5-jjj9 | npm       | qs                   | 6.2.1   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-hrpp-h998-j3pp | npm       | qs                   | 6.2.1   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-hrpp-h998-j3pp | npm       | qs                   | 6.3.2   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-hrpp-h998-j3pp | npm       | qs                   | 6.5.2   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-6g33-f262-xjp4 | npm       | randomatic           | 1.1.5   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-7xfp-9c55-5vqj | npm       | request              | 2.36.0  | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-p8p7-x288-28g6 | npm       | request              | 2.36.0  | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-7xfp-9c55-5vqj | npm       | request              | 2.67.0  | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-p8p7-x288-28g6 | npm       | request              | 2.67.0  | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-p8p7-x288-28g6 | npm       | request              | 2.75.0  | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-p8p7-x288-28g6 | npm       | request              | 2.79.0  | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-p8p7-x288-28g6 | npm       | request              | 2.88.0  | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-4g88-fppr-53pp | npm       | set-value            | 0.4.3   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-4jqc-8m5r-9rpr | npm       | set-value            | 0.4.3   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-4g88-fppr-53pp | npm       | set-value            | 2.0.0   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-4jqc-8m5r-9rpr | npm       | set-value            | 2.0.0   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-4rq4-32rv-6wp6 | npm       | shelljs              | 0.3.0   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-64g7-mvw6-v9qj | npm       | shelljs              | 0.3.0   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-2m39-62fm-q8r3 | npm       | sshpk                | 1.10.1  | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-mf6x-7mm4-x2g7 | npm       | stringstream         | 0.0.5   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-2rq5-699j-x7p6 | npm       | swig                 | 1.4.2   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-j44m-qm6p-hp7m | npm       | tar                  | 2.2.1   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-3jfq-g458-7qm9 | npm       | tar                  | 2.2.1   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-r628-mhmh-qjhw | npm       | tar                  | 2.2.1   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-9r2w-394v-53qc | npm       | tar                  | 2.2.1   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-5955-9wpr-37jh | npm       | tar                  | 2.2.1   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-qq89-hq3f-393p | npm       | tar                  | 2.2.1   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-3jfq-g458-7qm9 | npm       | tar                  | 4.4.8   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-r628-mhmh-qjhw | npm       | tar                  | 4.4.8   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-9r2w-394v-53qc | npm       | tar                  | 4.4.8   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-5955-9wpr-37jh | npm       | tar                  | 4.4.8   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-qq89-hq3f-393p | npm       | tar                  | 4.4.8   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-qhv9-728r-6jqg | npm       | tough-cookie         | 2.2.2   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-g7q5-pjjr-gqvp | npm       | tough-cookie         | 2.2.2   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-g7q5-pjjr-gqvp | npm       | tough-cookie         | 2.3.1   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-7p7h-4mm5-852v | npm       | trim-newlines        | 1.0.0   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-xc7v-wxcw-j472 | npm       | tunnel-agent         | 0.4.3   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-c9f4-xj24-8jqx | npm       | uglify-js            | 2.4.24  | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-332q-7ff2-57h2 | npm       | undefsafe            | 2.0.2   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-cf4h-3jhx-xvhq | npm       | underscore           | 1.8.3   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-cf4h-3jhx-xvhq | npm       | underscore           | 1.9.1   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-g78m-2chm-r7qv | npm       | websocket-extensions | 0.1.3   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-776f-qx25-q3cc | npm       | xml2js               | 0.4.4   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-c4w7-xm78-47vh | npm       | y18n                 | 3.2.1   | NodeGoat/package-lock.json |
| https://osv.dev/GHSA-p9pc-299p-vxgp | npm       | yargs-parser         | 2.4.1   | NodeGoat/package-lock.json |
+-------------------------------------+-----------+----------------------+---------+----------------------------+









npm WARN deprecated fsevents@1.2.9: fsevents 1 will break on node v14+ and could be using insecure binaries. Upgrade to fsevents 2.
npm WARN deprecated sntp@0.2.4: This module moved to @hapi/sntp. Please make sure to switch over as this distribution is no longer supported and may contain bugs and critical security issues.
npm WARN deprecated cryptiles@0.2.2: This version has been deprecated in accordance with the hapi support policy (hapi.im/support). Please upgrade to the latest version to get the best features, bug fixes, and security patches. If you are unable to upgrade at this time, paid support is available for older versions (hapi.im/commercial).
